gene_name,CC,B,LB,US,LP,P
ABCA1,113,250,580,467,18,71
ABCG8,85,81,202,358,24,45
ACVRL1,52,94,191,208,168,373
ADA2,14,44,150,242,31,121
ALG8,18,71,86,127,20,32
ALPL,83,90,448,223,282,218
ANKS6,8,55,166,155,11,46
ATP6V1B1,25,52,372,138,38,77
ATP7B,226,92,1025,903,465,548
BAAT,14,29,25,101,2,37
BRCA1,2741,805,2554,2144,462,4065
BRCA2,5092,845,3752,3970,638,5005
BRIP1,284,112,1457,2894,346,721
BTK,19,70,178,159,92,385
C3,74,154,445,499,24,29
CD40LG,10,34,74,59,38,246
CD46,16,46,77,181,19,36
CDAN1,47,68,190,286,17,37
CDIN1,2,39,25,32,3,18
CEP164,24,69,506,591,50,81
CEP83,8,44,199,218,5,39
CFB,25,44,173,236,2,6
CFH,37,79,260,397,38,61
CFHR1,5,56,13,31,4,19
CFHR3,1,30,26,36,2,19
CFI,21,61,144,233,24,47
CLCN7,62,135,487,433,39,89
COG1,20,44,130,228,6,21
COL3A1,142,172,930,1090,347,548
COL4A1,105,290,790,780,185,232
COL7A1,272,128,2895,1028,287,645
COQ2,16,33,139,156,19,44
CP,42,126,321,337,52,110
CTC1,59,74,460,771,35,107
DCDC2,20,51,80,106,12,23
DDX41,29,39,172,269,37,92
DKC1,20,37,251,127,18,211
DNAJC21,12,17,132,169,14,48
ELANE,31,68,143,251,48,72
ENG,87,98,467,387,126,518
EPB42,32,24,31,108,9,16
ERCC4,39,69,226,462,22,51
ETV6,8,53,117,148,24,50
F8,38,41,70,223,217,627
F9,12,45,184,84,86,363
FAH,47,73,340,139,112,113
FAM111A,8,43,76,123,9,9
FANCA,270,251,2013,1582,430,933
FANCB,38,72,258,277,13,184
FANCC,111,69,655,836,173,224
FANCD2,74,171,723,592,157,214
FANCE,31,29,283,302,51,46
FANCF,17,23,107,285,25,47
FANCG,29,27,434,271,99,180
FANCI,72,147,882,823,156,170
FANCL,22,52,287,277,63,77
FARS2,22,57,176,243,36,92
FMO3,15,20,76,48,27,77
FOXP3,20,44,102,131,25,186
G6PC1,30,32,201,153,74,112
G6PC3,12,14,178,145,9,45
GATA1,14,37,85,143,17,203
GBA1,38,10,38,134,92,112
GLA,82,40,212,295,191,493
GLIS2,16,32,61,150,0,34
HAMP,6,7,48,20,2,20
HBA1,14,10,30,66,17,110
HBA2,30,11,36,84,22,131
HBB,117,39,779,209,86,402
HCFC1,48,279,760,256,7,254
HLA-DQA1,0,4,4,4,1,4
HLA-DQB1,0,2,4,4,1,4
IFIH1,65,90,486,740,18,48
INVS,45,44,380,401,30,120
KCNE1,37,51,86,169,9,69
KCNQ1,190,441,780,684,251,396
LIPA,53,42,249,191,83,88
LMBRD1,11,51,253,128,22,38
LPIN2,47,100,322,418,18,152
LYST,126,178,1476,1473,109,178
MAD2L2,0,10,75,51,7,32
MEN1,150,57,741,1041,166,475
MMAA,21,33,197,183,62,104
MMAB,30,65,218,146,44,70
MMACHC,29,30,206,197,74,118
MMADHC,14,32,187,67,33,60
MMP1,0,38,13,37,3,17
MTR,36,200,645,380,35,100
MTRR,24,92,521,239,73,179
MTTP,23,84,537,312,83,104
MUC1,1,2,12,55,5,11
NAF1,5,10,44,109,8,40
NEK8,12,21,98,163,13,21
NPHP1,50,95,360,336,67,177
NPHP3,96,77,334,547,51,108
NPHP4,151,113,491,792,55,136
